id,title,url,source,category,status,captured_at,markdown_path,raw_path
openai_codex_best_practices,"Best practices – Codex",https://developers.openai.com/codex/learn/best-practices,OpenAI,coding_agents,pending,,,
openai_building_agents,"Building agents",https://developers.openai.com/tracks/building-agents,OpenAI,agent_design,pending,,,
openai_reasoning_best_practices,"Reasoning best practices",https://developers.openai.com/api/docs/guides/reasoning-best-practices,OpenAI,prompting,pending,,,
openai_prompt_engineering,"Prompt engineering",https://developers.openai.com/api/docs/guides/prompt-engineering,OpenAI,prompting,pending,,,
openai_agent_evals,"Agent Evals",https://developers.openai.com/api/docs/guides/agent-evals,OpenAI,evals,pending,,,
openai_safety_in_building_agents,"Safety in building agents",https://developers.openai.com/api/docs/guides/agents/guardrails-approvals,OpenAI,safety_guardrails,pending,,,
anthropic_claude_code_best_practices_for_agentic_coding,"Claude Code: Best practices for agentic coding",https://www.anthropic.com/engineering/claude-code-best-practices,Anthropic,coding_agents,pending,,,
anthropic_building_effective_agents,"Building effective agents",https://www.anthropic.com/engineering/building-effective-agents,Anthropic,agent_design,pending,,,
anthropic_writing_effective_tools_for_agents,"Writing effective tools for agents — with agents",https://www.anthropic.com/engineering/writing-tools-for-agents,Anthropic,tool_use,pending,,,
anthropic_effective_context_engineering_for_ai_agents,"Effective context engineering for AI agents",https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents,Anthropic,context_engineering,pending,,,
anthropic_demystifying_evals_for_ai_agents,"Demystifying evals for AI agents",https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents,Anthropic,evals,pending,,,
anthropic_effective_harnesses_for_long_running_agents,"Effective harnesses for long-running agents",https://www.anthropic.com/engineering/effective-harnesses-for-long-running-agents,Anthropic,production_operations,pending,,,
anthropic_harness_design_for_long_running_application_development,"Harness design for long-running application development",https://www.anthropic.com/engineering/harness-design-long-running-apps,Anthropic,production_operations,pending,,,
anthropic_multi_agent_research_system,"How we built our multi-agent research system",https://www.anthropic.com/engineering/multi-agent-research-system,Anthropic,multi_agent,pending,,,
anthropic_code_execution_with_mcp,"Code execution with MCP: Building more efficient agents",https://www.anthropic.com/engineering/code-execution-with-mCP,Anthropic,tool_use,pending,,,
anthropic_claude_code_auto_mode,"How we built Claude Code auto mode: a safer way to skip permissions",https://www.anthropic.com/engineering/claude-code-auto-mode,Anthropic,coding_agents,pending,,,
anthropic_claude_code_sandboxing,"Making Claude Code more secure and autonomous with sandboxing",https://www.anthropic.com/engineering/claude-code-sandboxing,Anthropic,security,pending,,,
anthropic_how_we_contain_claude,"How we contain Claude across products",https://www.anthropic.com/engineering/how-we-contain-claude,Anthropic,security,pending,,,
google_five_guides_to_building_and_scaling_production_ready_ai_agents,"Five guides to building and scaling production-ready AI agents",https://cloud.google.com/blog/topics/developers-practitioners/five-guides-to-building-and-scaling-production-ready-ai-agents,Google Cloud,production_operations,pending,,,
google_devs_guide_to_production_ready_ai_agents,"A dev’s guide to production-ready AI agents",https://cloud.google.com/blog/products/ai-machine-learning/a-devs-guide-to-production-ready-ai-agents/,Google Cloud,production_operations,pending,,,
google_best_practices_and_patterns,"Best practices and patterns",https://docs.cloud.google.com/customer-engagement-ai/conversational-agents/ps/best-practices,Google Cloud,agent_design,pending,,,
google_choose_design_pattern_for_agentic_ai_system,"Choose a design pattern for your agentic AI system",https://docs.cloud.google.com/architecture/choose-design-pattern-agentic-ai-system,Google Cloud,agent_design,pending,,,
google_agentic_ai_architecture_guides,"Agentic AI architecture guides",https://docs.cloud.google.com/architecture/agentic-ai-overview,Google Cloud,agent_design,pending,,,
aws_bedrock_agentcore_best_practices,"Best practices - Amazon Bedrock AgentCore",https://docs.aws.amazon.com/bedrock-agentcore/latest/devguide/best-practices.html,AWS,production_operations,pending,,,
aws_bedrock_scaling_throughput_best_practices,"Scaling and throughput best practices - Amazon Bedrock",https://docs.aws.amazon.com/bedrock/latest/userguide/scaling-throughput-best-practices.html,AWS,production_operations,pending,,,
microsoft_adopt_ai_agent_best_practice,"Implement best practices to empower AI agent efficiency and ensure long-term success",https://learn.microsoft.com/en-us/training/modules/adopt-ai-agent-best-practice/,Microsoft,organizational_adoption,pending,,,
microsoft_marketplace_ai_apps_agents_best_practices,"Best practices for building AI apps and agents for Microsoft Marketplace",https://learn.microsoft.com/en-us/partner-center/marketplace-offers/artificial-intelligence-app-agent-best-practices,Microsoft,production_operations,pending,,,
microsoft_ai_agent_adoption_guidance,"AI Agent Adoption Guidance for Organizations",https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/,Microsoft,organizational_adoption,pending,,,
microsoft_governance_security_across_organization,"Governance and security for AI agents across the organization",https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/governance-security-across-organization,Microsoft,security,pending,,,
microsoft_architecting_agent_solutions,"Architecting agent solutions: Principles and patterns",https://learn.microsoft.com/en-us/agents/architecture/,Microsoft,agent_design,pending,,,
langchain_workflows_and_agents,"Workflows and agents",https://docs.langchain.com/oss/python/langgraph/workflows-agents,LangChain,framework_docs,pending,,,
langchain_thinking_in_langgraph,"Thinking in LangGraph",https://docs.langchain.com/oss/python/langgraph/thinking-in-langgraph,LangChain,framework_docs,pending,,,
langchain_evaluate_complex_agent,"Evaluate a complex agent",https://docs.langchain.com/langsmith/evaluate-complex-agent,LangChain,evals,pending,,,
langchain_evaluate_graph,"How to evaluate a graph",https://docs.langchain.com/langsmith/evaluate-graph,LangChain,evals,pending,,,
huggingface_building_good_agents,"Building good agents",https://huggingface.co/docs/smolagents/tutorials/building_good_agents,Hugging Face,framework_docs,pending,,,
