url,id,title,category,provider,source_type,initial_tags,relevance,priority,notes
https://openai.com/business/guides-and-resources/a-practical-guide-to-building-ai-agents/,SRC001,A practical guide to building agents,,OpenAI,official guide,agent design; orchestration; instructions; tools; guardrails; multi-agent,high,P0,"Core OpenAI guide for agent architecture, instructions, orchestration, safety, and when to split agents."
https://platform.openai.com/docs/guides/agents,SRC002,Agents,,OpenAI,official documentation,AgentKit; tools; guardrails; memory; evals; deployment,high,P0,"Platform overview for building, deploying, and optimizing agent workflows."
https://platform.openai.com/docs/guides/agent-evals,SRC003,Agent evals,,OpenAI,official documentation,agent evals; trace grading; datasets; quality,high,P0,Directly relevant to measuring agent quality with reproducible evaluations.
https://platform.openai.com/docs/guides/evaluation-best-practices,SRC004,Evaluation best practices,,OpenAI,official documentation,eval-driven development; continuous evaluation; tool selection; handoff evals,high,P0,"Strong source for eval process, architecture-specific nondeterminism, and agent/tool/handoff evaluation."
https://platform.openai.com/docs/guides/prompting,SRC005,Prompting,,OpenAI,official documentation,prompting; reusable prompts; prompt versioning; prompt management,medium,P1,Useful for general prompt construction and reusable prompt management.
https://platform.openai.com/docs/guides/reasoning-best-practices,SRC006,Reasoning best practices,,OpenAI,official documentation,reasoning models; simple prompts; delimiters; developer messages,medium,P1,Useful where agent work relies on reasoning-model instruction style.
https://openai.com/index/ai-agent-link-safety/,SRC007,Keeping your data safe when an AI agent clicks a link,,OpenAI,official article,agent safety; prompt injection; URL safety; data exfiltration,medium,P1,Good safety-specific source for link fetching and prompt-injection risk.
https://cdn.openai.com/papers/practices-for-governing-agentic-ai-systems.pdf,SRC008,Practices for Governing Agentic AI Systems,,OpenAI,official paper,governance; lifecycle risk; safety; agent oversight,medium,P1,Broader governance source for agentic systems and lifecycle responsibilities.
https://www.anthropic.com/engineering/building-effective-agents,SRC009,Building effective agents,agent_design,Anthropic,official engineering article,simplicity; workflows vs agents; tool design; transparency; evals,high,P0,Core Anthropic source for practical agent design patterns and complexity control.
https://www.anthropic.com/engineering/multi-agent-research-system,SRC010,How we built our multi-agent research system,multi_agent,Anthropic,official engineering article,multi-agent; orchestration; delegation; breadth-first research; observability,high,P0,"Strong source for multi-agent orchestration, delegation, parallelism, and research-agent design."
https://www.anthropic.com/engineering/writing-tools-for-agents,SRC011,Writing effective tools for AI agents - with agents,tool_use,Anthropic,official engineering article,tool design; MCP; tool evaluation; agent-computer interface,high,P0,Core source for tool design and evaluation for agentic systems.
https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents,SRC012,Demystifying evals for AI agents,evals,Anthropic,official engineering article,agent evals; reliability; lifecycle evaluation; production quality,high,P0,Agent-specific eval guidance from Anthropic.
https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents,SRC013,Effective context engineering for AI agents,context_engineering,Anthropic,official engineering article,context engineering; memory; retrieval; Claude Code; environment navigation,high,P0,Directly relevant to context management and coding-agent environment design.
https://www.anthropic.com/research/trustworthy-agents,SRC014,Trustworthy agents in practice,,Anthropic,official research article,human control; privacy; transparency; prompt injection; governance,medium,P1,Safety and governance framing for trustworthy agents.
https://www.anthropic.com/engineering/building-agents-with-the-claude-agent-sdk/,SRC015,Building agents with the Claude Agent SDK,,Anthropic,official engineering article,Claude Agent SDK; agent harness; deployment patterns; coding agents,medium,P1,Useful for Claude Agent SDK and harness-oriented agent construction.
https://www.anthropic.com/engineering/managed-agents,SRC016,Scaling Managed Agents: Decoupling the brain from the hands,,Anthropic,official engineering article,long-horizon agents; hosted agents; stable interfaces; agent harnesses,medium,P1,Good source for long-horizon agent architecture and stable interfaces.
https://ai.google.dev/gemini-api/docs/tools,SRC017,Using Tools & Agents with Gemini API,,Google AI,official documentation,tools; function calling; structured outputs; agent frameworks; orchestration,high,P0,"Core Google source for tools, agents, function calling, and orchestration needs."
https://docs.cloud.google.com/vertex-ai/generative-ai/docs/agent-engine/use/overview,SRC018,Use an agent - Vertex AI Agent Engine,,Google Cloud,official documentation,deployment; tracing; sessions; agent engine; observability,medium,P1,Useful for operational and deployment aspects of managed agents.
https://cloud.google.com/vertex-ai/generative-ai/docs/agent-engine/develop/overview,SRC019,Develop an agent - Vertex AI Agent Engine,,Google Cloud,official documentation,framework templates; ADK; A2A; custom agents,medium,P1,Relevant for Google agent development patterns and framework choices.
https://google.github.io/adk-docs/agents/,SRC020,Agents - Agent Development Kit,,Google ADK,official documentation,agent types; ADK; orchestration; multi-agent,medium,P1,Useful framework documentation for Google ADK agent concepts.
