source_id,provider,title,url,source_type,initial_tags,relevance,priority,notes
SRC001,OpenAI,A practical guide to building agents,https://openai.com/business/guides-and-resources/a-practical-guide-to-building-ai-agents/,official guide,agent design; orchestration; instructions; tools; guardrails; multi-agent,high,P0,"Core OpenAI guide for agent architecture, instructions, orchestration, safety, and when to split agents."
SRC002,OpenAI,Agents,https://platform.openai.com/docs/guides/agents,official documentation,AgentKit; tools; guardrails; memory; evals; deployment,high,P0,"Platform overview for building, deploying, and optimizing agent workflows."
SRC003,OpenAI,Agent evals,https://platform.openai.com/docs/guides/agent-evals,official documentation,agent evals; trace grading; datasets; quality,high,P0,Directly relevant to measuring agent quality with reproducible evaluations.
SRC004,OpenAI,Evaluation best practices,https://platform.openai.com/docs/guides/evaluation-best-practices,official documentation,eval-driven development; continuous evaluation; tool selection; handoff evals,high,P0,"Strong source for eval process, architecture-specific nondeterminism, and agent/tool/handoff evaluation."
SRC005,OpenAI,Prompting,https://platform.openai.com/docs/guides/prompting,official documentation,prompting; reusable prompts; prompt versioning; prompt management,medium,P1,Useful for general prompt construction and reusable prompt management.
SRC006,OpenAI,Reasoning best practices,https://platform.openai.com/docs/guides/reasoning-best-practices,official documentation,reasoning models; simple prompts; delimiters; developer messages,medium,P1,Useful where agent work relies on reasoning-model instruction style.
SRC007,OpenAI,Keeping your data safe when an AI agent clicks a link,https://openai.com/index/ai-agent-link-safety/,official article,agent safety; prompt injection; URL safety; data exfiltration,medium,P1,Good safety-specific source for link fetching and prompt-injection risk.
SRC008,OpenAI,Practices for Governing Agentic AI Systems,https://cdn.openai.com/papers/practices-for-governing-agentic-ai-systems.pdf,official paper,governance; lifecycle risk; safety; agent oversight,medium,P1,Broader governance source for agentic systems and lifecycle responsibilities.
SRC009,Anthropic,Building effective agents,https://www.anthropic.com/engineering/building-effective-agents,official engineering article,simplicity; workflows vs agents; tool design; transparency; evals,high,P0,Core Anthropic source for practical agent design patterns and complexity control.
SRC010,Anthropic,How we built our multi-agent research system,https://www.anthropic.com/engineering/multi-agent-research-system,official engineering article,multi-agent; orchestration; delegation; breadth-first research; observability,high,P0,"Strong source for multi-agent orchestration, delegation, parallelism, and research-agent design."
SRC011,Anthropic,Writing effective tools for AI agents - with agents,https://www.anthropic.com/engineering/writing-tools-for-agents,official engineering article,tool design; MCP; tool evaluation; agent-computer interface,high,P0,Core source for tool design and evaluation for agentic systems.
SRC012,Anthropic,Demystifying evals for AI agents,https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents,official engineering article,agent evals; reliability; lifecycle evaluation; production quality,high,P0,Agent-specific eval guidance from Anthropic.
SRC013,Anthropic,Effective context engineering for AI agents,https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents,official engineering article,context engineering; memory; retrieval; Claude Code; environment navigation,high,P0,Directly relevant to context management and coding-agent environment design.
SRC014,Anthropic,Trustworthy agents in practice,https://www.anthropic.com/research/trustworthy-agents,official research article,human control; privacy; transparency; prompt injection; governance,medium,P1,Safety and governance framing for trustworthy agents.
SRC015,Anthropic,Building agents with the Claude Agent SDK,https://www.anthropic.com/engineering/building-agents-with-the-claude-agent-sdk/,official engineering article,Claude Agent SDK; agent harness; deployment patterns; coding agents,medium,P1,Useful for Claude Agent SDK and harness-oriented agent construction.
SRC016,Anthropic,Scaling Managed Agents: Decoupling the brain from the hands,https://www.anthropic.com/engineering/managed-agents,official engineering article,long-horizon agents; hosted agents; stable interfaces; agent harnesses,medium,P1,Good source for long-horizon agent architecture and stable interfaces.
SRC017,Google AI,Using Tools & Agents with Gemini API,https://ai.google.dev/gemini-api/docs/tools,official documentation,tools; function calling; structured outputs; agent frameworks; orchestration,high,P0,"Core Google source for tools, agents, function calling, and orchestration needs."
SRC018,Google Cloud,Use an agent - Vertex AI Agent Engine,https://docs.cloud.google.com/vertex-ai/generative-ai/docs/agent-engine/use/overview,official documentation,deployment; tracing; sessions; agent engine; observability,medium,P1,Useful for operational and deployment aspects of managed agents.
SRC019,Google Cloud,Develop an agent - Vertex AI Agent Engine,https://cloud.google.com/vertex-ai/generative-ai/docs/agent-engine/develop/overview,official documentation,framework templates; ADK; A2A; custom agents,medium,P1,Relevant for Google agent development patterns and framework choices.
SRC020,Google ADK,Agents - Agent Development Kit,https://google.github.io/adk-docs/agents/,official documentation,agent types; ADK; orchestration; multi-agent,medium,P1,Useful framework documentation for Google ADK agent concepts.
SRC021,Google Cloud,How to design conversational AI agents,https://cloud.google.com/blog/products/ai-machine-learning/how-to-design-conversational-ai-agents,official blog article,conversational design; UX; transparency; multimodal input,low,P2,More UX-oriented but relevant when covering agent interaction design.
SRC022,Google Cloud,Building conversational AI experiences with gen AI,https://cloud.google.com/blog/products/ai-machine-learning/building-conversational-ai-experiences-with-gen-ai,official blog article,conversational AI; knowledge grounding; best practices; virtual agents,low,P2,Useful supporting source for conversational agent experiences.
SRC023,Microsoft,Write effective instructions for declarative agents,https://learn.microsoft.com/en-us/microsoft-365/copilot/extensibility/declarative-agent-instructions,official documentation,agent instructions; workflows; structure; examples; transitions,high,P0,"Strong source for instruction writing, workflow structure, and agent behavior control."
SRC024,Microsoft,Best practices for building declarative agents,https://learn.microsoft.com/en-us/microsoft-365-copilot/extensibility/declarative-agent-best-practices,official documentation,declarative agents; knowledge; actions; boundaries; Copilot,high,P0,Best-practice source for Microsoft 365 Copilot declarative agents.
SRC025,Microsoft,Human-centered Design for Agents,https://learn.microsoft.com/en-us/agents/design-guidelines/human-centered-design,official documentation,human-centered design; trust; transparency; UX; user control,medium,P1,Useful for user control and trustworthy agent experience design.
SRC026,Microsoft,Best practices for building AI apps and agents for Microsoft Marketplace,https://learn.microsoft.com/en-us/partner-center/marketplace-offers/artificial-intelligence-app-agent-best-practices,official documentation,production; prompt versioning; CI validation; deployment; traceability,high,P0,"Highly relevant for production practices, modular prompts, versioning, CI validation, and deployment."
